key,locale,package,origin_text,text
activity::activitypoint.setting_post_on_other_action,de,metafox/activity,"Post a new status on someone's profile.",
activity::activitypoint.setting_post_on_other_description,de,metafox/activity,"Post a new status on someone's profile.",
activity::activitypoint.setting_post_on_wall_action,de,metafox/activity,"Post a new status on your profile",
activity::activitypoint.setting_post_on_wall_description,de,metafox/activity,"Post a new status on your profile",
activity::admin.add_comment_as_feed_description,de,metafox/activity,"If this setting is enabled it will add comments that are added to items such as videos, blogs, photos etc... as its own feed entry.",
activity::admin.add_comment_as_feed_label,de,metafox/activity,"Add Comments as Feeds",
activity::admin.allow_choosing_sort_on_feed_description,de,metafox/activity,,
activity::admin.allow_choosing_sort_on_feed_label,de,metafox/activity,"Allow Choosing Sort On Feed",
activity::admin.can_change_privacy_from_feed,de,metafox/activity,"Can change privacy from feed",
activity::admin.can_comment,de,metafox/activity,"Can comment",
activity::admin.can_create_feed,de,metafox/activity,"Can create feed item",
activity::admin.can_edit,de,metafox/activity,"Can edit",
activity::admin.can_like,de,metafox/activity,"Can like",
activity::admin.can_put_stream,de,metafox/activity,"Can put stream",
activity::admin.can_share,de,metafox/activity,"Can share",
activity::admin.check_new_in_minutes_description,de,metafox/activity,"The feed will be automatically refreshed at the specified time interval. If the input value is 0, your feed will not be automatically refreshed.",
activity::admin.check_new_in_minutes_label,de,metafox/activity,"How long will the feed be refreshed in minutes?",
activity::admin.enable_checkin_description,de,metafox/activity,"Enable Check-in feature. Note: The Check-in feature can be used when posting status or configuring page locations. The setting of Google API key need to be configured to use this feature.",
activity::admin.enable_checkin_label,de,metafox/activity,"Enable Check-In",
activity::admin.enable_hide_feed_description,de,metafox/activity,"If enabled, users will be able to hide feed on the homepage.",
activity::admin.enable_hide_feed_label,de,metafox/activity,"Enable Hide Feed",
activity::admin.enable_tag_friends_description,de,metafox/activity,"If enabled, users will be able to tag their friends when posting a status update.",
activity::admin.enable_tag_friends_label,de,metafox/activity,"Enable Tag Friends",
activity::admin.feed_limit_days_description,de,metafox/activity,"This setting controls how many days we should look back when displaying feeds. If you set this to 0 it will look for all the feeds. We advice to add a limit to keep your site fresh. Note that this setting does not apply when viewing a users profile as it will list all of their feeds.",
activity::admin.feed_limit_days_label,de,metafox/activity,"Feed Limit (Days)",
activity::admin.friends_only_description,de,metafox/activity,"Set to ON if you would like news feed to only be displayed to the user and their friends.",
activity::admin.friends_only_label,de,metafox/activity,"Friends Only",
activity::admin.is_active,de,metafox/activity,Active,
activity::admin.is_request,de,metafox/activity,Request,
activity::admin.load_feeds_limit,de,metafox/activity,"Load Feeds Limit",
activity::admin.load_feeds_limit_description,de,metafox/activity,"Limit the number of feeds that will be displayed in the main news feed during each page load.",
activity::admin.most_recent,de,metafox/activity,"Most Recent",
activity::admin.pin_homepage_description,de,metafox/activity,"Set to :number to allow unlimited pinning of posts.",
activity::admin.pin_homepage_label,de,metafox/activity,"The maximum number of posts that can be pinned on the homepage",
activity::admin.pin_profile_description,de,metafox/activity,"Set to :number to allow unlimited pinning of posts.",
activity::admin.pin_profile_label,de,metafox/activity,"The maximum number of posts that can be pinned on the Profile User/ Page/ Group",
activity::admin.prevent_from_edit_feed_item,de,metafox/activity,"Prevent from editing feed item",
activity::admin.schedule_on_feed_description,de,metafox/activity,"If enabled, users will be able to schedule when sharing items on feed.",
activity::admin.schedule_on_feed_label,de,metafox/activity,"Enable Schedule on Feed",
activity::admin.sort_default_description,de,metafox/activity,"Select the default criterion to sort in New Feed. This setting will be applied for new registered users on your site only.",
activity::admin.sort_default_label,de,metafox/activity,"Default criterion to sort on New Feed",
activity::admin.spam_check_status_updates_description,de,metafox/activity,"Define how many status updates should we check to see if the new status update the user is adding is similar and if one is we will guide them to add another status update.",
activity::admin.spam_check_status_updates_label,de,metafox/activity,"Spam Check Status Updates",
activity::admin.sponsored_feed_cache_time_description,de,metafox/activity,"Define how long we should keep the cache for the Sponsored Feed by minutes. 0 means we do not cache this data.",
activity::admin.sponsored_feed_cache_time_label,de,metafox/activity,"Sponsored Feed Cache Time",
activity::admin.top_stories,de,metafox/activity,"Top Stories",
activity::admin.top_stories_both,de,metafox/activity,Both,
activity::admin.top_stories_comment,de,metafox/activity,Comment,
activity::admin.top_stories_like,de,metafox/activity,Like,
activity::admin.top_stories_update_description,de,metafox/activity,"Select the criterion to sort top stories in feed.",
activity::admin.top_stories_update_label,de,metafox/activity,"Criterion to sort top stories in feed",
activity::admin.type,de,metafox/activity,Type,
activity::mail.approved_feed_content,de,metafox/activity,"Your pending post has been approved.",
activity::mail.approved_feed_subject,de,metafox/activity,"Your Pending Post Has Been Approved",
activity::mail.pending_feed_content,de,metafox/activity,"A post is waiting for your approval.",
activity::mail.pending_feed_subject,de,metafox/activity,"A post is waiting for your approval.",
activity::mail.user_reacted_to_a_post_you_shared_subject,de,metafox/activity,":user reacted to a post you shared.",
activity::mail.user_reacted_to_your_post_subject,de,metafox/activity,":user reacted to your post: :title.",
activity::notification.an_admin_approved_your_post,de,metafox/activity,"Admin has approved your post.",
activity::notification.an_admin_declined_your_post,de,metafox/activity,"Admin has declined your post.",
activity::notification.pending_post_in_entity_name_is_waiting_for_your_approval,de,metafox/activity,"A post in :entity_type <b>:entity_title</b> is waiting for your approval.",
activity::notification.pending_post_is_waiting_for_your_approval,de,metafox/activity,"A post is waiting for your approval.",
activity::notification.user_commented_on_owner_post,de,metafox/activity,"<b>{user}</b> { isTitle, select, 1 { commented on <b>{owner}'s</b> post: <b>{title}</b>.} other { commented on <b>{owner}'s</b> post.}}",
activity::notification.user_commented_on_post_that_you_are_tagged,de,metafox/activity,"<b>:user</b> commented on a post that you are tagged in.",
activity::notification.user_commented_to_your_post,de,metafox/activity,"<b>{user}</b> { isTitle, select, 1 { commented on your post: <b>{title}</b>.} other { commented on your post.}}",
activity::notification.user_commented_to_your_post_in_name,de,metafox/activity,"<b>{user}</b> commented on {user_name, select, your{your} other{<b>{user_name}'s</b>}} post in <b>{owner_name}</b>.",
activity::notification.user_reacted_to_a_post_you_shared,de,metafox/activity,"<b>{user}</b> reacted to a post you shared.",
activity::notification.user_reacted_to_post_that_you_are_tagged_in_owner_name,de,metafox/activity,"<b>{user}</b> { isTitle, select, 1 { reacted to a post that you are tagged in <b>:owner_name</b>: "":feed_content"".} other { reacted to a post that you are tagged in <b>:owner_name</b>.}}",
activity::notification.user_reacted_to_post_you_are_tagged_title,de,metafox/activity,"<b>{user}</b> { isTitle, select, 1 { reacted to a post you are tagged in: "":feed_content"".} other { reacted to a post you are tagged in.}}",
activity::notification.user_reacted_to_your_post,de,metafox/activity,"<b>{user}</b> { isTitle, select, 1 { reacted to your post: <b>{title}</b>} other { reacted to your post.}}",
activity::notification.user_reacted_to_your_post_in_name,de,metafox/activity,"<b>{user}</b> { isTitle, select, 1 { reacted to your post in <b>{owner_name}</b>: <b>{title}</b>.} other { reacted to your post in <b>{owner_name}</b>.}}",
activity::permission.can_approve_activity_post_desc,de,metafox/activity,,
activity::permission.can_approve_activity_post_label,de,metafox/activity,"Can approve pending activity posts?",
activity::permission.can_approve_share_desc,de,metafox/activity,,
activity::permission.can_approve_share_label,de,metafox/activity,"Can approve post share?",
activity::permission.can_can_purchase_sponsor_feed_desc,de,metafox/activity,,
activity::permission.can_can_purchase_sponsor_feed_label,de,metafox/activity,"Can sponsor own activity feed?",
