key,locale,package,origin_text,text
activity::activitypoint.setting_post_on_other_action,ru,metafox/activity,"Post a new status on someone's profile.",
activity::activitypoint.setting_post_on_other_description,ru,metafox/activity,"Post a new status on someone's profile.",
activity::activitypoint.setting_post_on_wall_action,ru,metafox/activity,"Post a new status on your profile",
activity::activitypoint.setting_post_on_wall_description,ru,metafox/activity,"Post a new status on your profile",
activity::admin.add_comment_as_feed_description,ru,metafox/activity,"If this setting is enabled it will add comments that are added to items such as videos, blogs, photos etc... as its own feed entry.",
activity::admin.add_comment_as_feed_label,ru,metafox/activity,"Add Comments as Feeds",
activity::admin.allow_choosing_sort_on_feed_description,ru,metafox/activity,,
activity::admin.allow_choosing_sort_on_feed_label,ru,metafox/activity,"Allow Choosing Sort On Feed",
activity::admin.can_change_privacy_from_feed,ru,metafox/activity,"Can change privacy from feed",
activity::admin.can_comment,ru,metafox/activity,"Can comment",
activity::admin.can_create_feed,ru,metafox/activity,"Can create feed item",
activity::admin.can_edit,ru,metafox/activity,"Can edit",
activity::admin.can_like,ru,metafox/activity,"Can like",
activity::admin.can_put_stream,ru,metafox/activity,"Can put stream",
activity::admin.can_share,ru,metafox/activity,"Can share",
activity::admin.check_new_in_minutes_description,ru,metafox/activity,"The feed will be automatically refreshed at the specified time interval. If the input value is 0, your feed will not be automatically refreshed.",
activity::admin.check_new_in_minutes_label,ru,metafox/activity,"How long will the feed be refreshed in minutes?",
activity::admin.enable_checkin_description,ru,metafox/activity,"Enable Check-in feature. Note: The Check-in feature can be used when posting status or configuring page locations. The setting of Google API key need to be configured to use this feature.",
activity::admin.enable_checkin_label,ru,metafox/activity,"Enable Check-In",
activity::admin.enable_hide_feed_description,ru,metafox/activity,"If enabled, users will be able to hide feed on the homepage.",
activity::admin.enable_hide_feed_label,ru,metafox/activity,"Enable Hide Feed",
activity::admin.enable_tag_friends_description,ru,metafox/activity,"If enabled, users will be able to tag their friends when posting a status update.",
activity::admin.enable_tag_friends_label,ru,metafox/activity,"Enable Tag Friends",
activity::admin.feed_limit_days_description,ru,metafox/activity,"This setting controls how many days we should look back when displaying feeds. If you set this to 0 it will look for all the feeds. We advice to add a limit to keep your site fresh. Note that this setting does not apply when viewing a users profile as it will list all of their feeds.",
activity::admin.feed_limit_days_label,ru,metafox/activity,"Feed Limit (Days)",
activity::admin.friends_only_description,ru,metafox/activity,"Set to ON if you would like news feed to only be displayed to the user and their friends.",
activity::admin.friends_only_label,ru,metafox/activity,"Friends Only",
activity::admin.is_active,ru,metafox/activity,Active,
activity::admin.is_request,ru,metafox/activity,Request,
activity::admin.load_feeds_limit,ru,metafox/activity,"Load Feeds Limit",
activity::admin.load_feeds_limit_description,ru,metafox/activity,"Limit the number of feeds that will be displayed in the main news feed during each page load.",
activity::admin.most_recent,ru,metafox/activity,"Most Recent",
activity::admin.pin_homepage_description,ru,metafox/activity,"Set to :number to allow unlimited pinning of posts.",
activity::admin.pin_homepage_label,ru,metafox/activity,"The maximum number of posts that can be pinned on the homepage",
activity::admin.pin_profile_description,ru,metafox/activity,"Set to :number to allow unlimited pinning of posts.",
activity::admin.pin_profile_label,ru,metafox/activity,"The maximum number of posts that can be pinned on the Profile User/ Page/ Group",
activity::admin.prevent_from_edit_feed_item,ru,metafox/activity,"Prevent from editing feed item",
activity::admin.schedule_on_feed_description,ru,metafox/activity,"If enabled, users will be able to schedule when sharing items on feed.",
activity::admin.schedule_on_feed_label,ru,metafox/activity,"Enable Schedule on Feed",
activity::admin.sort_default_description,ru,metafox/activity,"Select the default criterion to sort in New Feed. This setting will be applied for new registered users on your site only.",
activity::admin.sort_default_label,ru,metafox/activity,"Default criterion to sort on New Feed",
activity::admin.spam_check_status_updates_description,ru,metafox/activity,"Define how many status updates should we check to see if the new status update the user is adding is similar and if one is we will guide them to add another status update.",
activity::admin.spam_check_status_updates_label,ru,metafox/activity,"Spam Check Status Updates",
activity::admin.sponsored_feed_cache_time_description,ru,metafox/activity,"Define how long we should keep the cache for the Sponsored Feed by minutes. 0 means we do not cache this data.",
activity::admin.sponsored_feed_cache_time_label,ru,metafox/activity,"Sponsored Feed Cache Time",
activity::admin.top_stories,ru,metafox/activity,"Top Stories",
activity::admin.top_stories_both,ru,metafox/activity,Both,
activity::admin.top_stories_comment,ru,metafox/activity,Comment,
activity::admin.top_stories_like,ru,metafox/activity,Like,
activity::admin.top_stories_update_description,ru,metafox/activity,"Select the criterion to sort top stories in feed.",
activity::admin.top_stories_update_label,ru,metafox/activity,"Criterion to sort top stories in feed",
activity::admin.type,ru,metafox/activity,Type,
activity::mail.approved_feed_content,ru,metafox/activity,"Your pending post has been approved.",
activity::mail.approved_feed_subject,ru,metafox/activity,"Your Pending Post Has Been Approved",
activity::mail.pending_feed_content,ru,metafox/activity,"A post is waiting for your approval.",
activity::mail.pending_feed_subject,ru,metafox/activity,"A post is waiting for your approval.",
activity::mail.user_reacted_to_a_post_you_shared_subject,ru,metafox/activity,":user reacted to a post you shared.",
activity::mail.user_reacted_to_your_post_subject,ru,metafox/activity,":user reacted to your post: :title.",
activity::notification.an_admin_approved_your_post,ru,metafox/activity,"Admin has approved your post.",
activity::notification.an_admin_declined_your_post,ru,metafox/activity,"Admin has declined your post.",
activity::notification.pending_post_in_entity_name_is_waiting_for_your_approval,ru,metafox/activity,"A post in :entity_type <b>:entity_title</b> is waiting for your approval.",
activity::notification.pending_post_is_waiting_for_your_approval,ru,metafox/activity,"A post is waiting for your approval.",
activity::notification.user_commented_on_owner_post,ru,metafox/activity,"<b>{user}</b> { isTitle, select, 1 { commented on <b>{owner}'s</b> post: <b>{title}</b>.} other { commented on <b>{owner}'s</b> post.}}",
activity::notification.user_commented_on_post_that_you_are_tagged,ru,metafox/activity,"<b>:user</b> commented on a post that you are tagged in.",
activity::notification.user_commented_to_your_post,ru,metafox/activity,"<b>{user}</b> { isTitle, select, 1 { commented on your post: <b>{title}</b>.} other { commented on your post.}}",
